"penyakitDBpedia","qid","penyakitLabel","wikidataEntity","gejalaLabel","treatmentLabel","kategoriLabel"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Esophageal dilation","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Per-oral endoscopic myotomy","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Botulinum toxin","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Esophageal dilation","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Botulinum toxin","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Per-oral endoscopic myotomy","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Botulinum toxin","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Per-oral endoscopic myotomy","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Esophageal dilation","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Botulinum toxin","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Esophageal dilation","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Botulinum toxin","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Per-oral endoscopic myotomy","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Esophageal dilation","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Per-oral endoscopic myotomy","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Esophageal dilation","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Botulinum toxin","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Chest pain","Per-oral endoscopic myotomy","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Esophageal dilation","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Per-oral endoscopic myotomy","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Botulinum toxin","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Esophageal dilation","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Botulinum toxin","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Per-oral endoscopic myotomy","Diseases of oesophagus, stomach and duodenum"
