qid,obatLabel,penyakitDBpedia,wikidataEntity,penyakitLabel,gejalaLabel,kategoriLabel,treatmentLabel
Q1432717,,,,catatonic schizophrenia,waxy flexibility,schizophrenia,
Q1432717,,,,catatonic schizophrenia,muteness,schizophrenia,
Q1432717,,,,catatonic schizophrenia,catalepsy,schizophrenia,
Q1432717,,,,catatonic schizophrenia,negativism,schizophrenia,
Q1432717,,,,catatonic schizophrenia,Pavlov's symptom,schizophrenia,
Q1432717,,,,catatonic schizophrenia,psychological pillow,schizophrenia,
Q1432717,,,,catatonic schizophrenia,catatonic excitement,schizophrenia,
Q1432717,,,,catatonic schizophrenia,waxy flexibility,catatonia,
Q1432717,,,,catatonic schizophrenia,muteness,catatonia,
Q1432717,,,,catatonic schizophrenia,catalepsy,catatonia,
Q1432717,,,,catatonic schizophrenia,negativism,catatonia,
Q1432717,,,,catatonic schizophrenia,Pavlov's symptom,catatonia,
Q1432717,,,,catatonic schizophrenia,psychological pillow,catatonia,
Q1432717,,,,catatonic schizophrenia,catatonic excitement,catatonia,
Q1444550,aspirin,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,clopidogrel,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,clopidogrel,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,clopidogrel,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,clopidogrel,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,clopidogrel,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,clopidogrel,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,papaverine,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,papaverine,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,papaverine,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,papaverine,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,papaverine,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,papaverine,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,tirofiban,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,tirofiban,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,tirofiban,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,tirofiban,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,tirofiban,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,tirofiban,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,beta blocker,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,beta blocker,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,beta blocker,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,beta blocker,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,beta blocker,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,beta blocker,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,ranolazine,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,ranolazine,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,ranolazine,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,ranolazine,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,ranolazine,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,ranolazine,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,statin,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,statin,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,statin,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,statin,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,statin,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,statin,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,aspirin
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,aspirin
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,nausea,arteriosclerosis,aspirin
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,aspirin
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,aspirin
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,fatigue,heart disease,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,angina pectoris,heart disease,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,nausea,heart disease,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,dyspnea,heart disease,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,neck pain,heart disease,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,lightheadedness,heart disease,aspirin
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,fatigue,heart disease,aspirin
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,angina pectoris,heart disease,aspirin
Q1444550,aspirin,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,clopidogrel,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,clopidogrel,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,clopidogrel,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,clopidogrel,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,clopidogrel,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,clopidogrel,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,papaverine,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,papaverine,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,papaverine,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,papaverine,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,papaverine,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,papaverine,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,tirofiban,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,tirofiban,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,tirofiban,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,tirofiban,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,tirofiban,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,tirofiban,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,calcium channel blocker,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,isosorbide mononitrate,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,anti-diabetic medication,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,beta blocker,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,beta blocker,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,beta blocker,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,beta blocker,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,beta blocker,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,beta blocker,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,ranolazine,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,ranolazine,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,ranolazine,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,ranolazine,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,ranolazine,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,ranolazine,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,statin,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,statin,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,statin,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,statin,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,statin,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,statin,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
