qid,penyakitLabel,gejalaLabel,obatLabel,kategoriLabel,treatmentLabel
Q1432717,catatonic schizophrenia,waxy flexibility,,schizophrenia,
Q1432717,catatonic schizophrenia,muteness,,schizophrenia,
Q1432717,catatonic schizophrenia,catalepsy,,schizophrenia,
Q1432717,catatonic schizophrenia,negativism,,schizophrenia,
Q1432717,catatonic schizophrenia,Pavlov's symptom,,schizophrenia,
Q1432717,catatonic schizophrenia,psychological pillow,,schizophrenia,
Q1432717,catatonic schizophrenia,catatonic excitement,,schizophrenia,
Q1432717,catatonic schizophrenia,waxy flexibility,,catatonia,
Q1432717,catatonic schizophrenia,muteness,,catatonia,
Q1432717,catatonic schizophrenia,catalepsy,,catatonia,
Q1432717,catatonic schizophrenia,negativism,,catatonia,
Q1432717,catatonic schizophrenia,Pavlov's symptom,,catatonia,
Q1432717,catatonic schizophrenia,psychological pillow,,catatonia,
Q1432717,catatonic schizophrenia,catatonic excitement,,catatonia,
Q1444550,arteriosclerotic heart disease,fatigue,aspirin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,aspirin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,aspirin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,aspirin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,aspirin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,aspirin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,isosorbide dinitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,isosorbide dinitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,isosorbide dinitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,isosorbide dinitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,isosorbide dinitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,isosorbide dinitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,clopidogrel,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,clopidogrel,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,clopidogrel,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,clopidogrel,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,clopidogrel,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,clopidogrel,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,papaverine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,papaverine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,papaverine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,papaverine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,papaverine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,papaverine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,tirofiban,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,tirofiban,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,tirofiban,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,tirofiban,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,tirofiban,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,tirofiban,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,calcium channel blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,calcium channel blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,calcium channel blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,calcium channel blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,calcium channel blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,calcium channel blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,isosorbide mononitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,isosorbide mononitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,isosorbide mononitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,isosorbide mononitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,isosorbide mononitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,isosorbide mononitrate,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,anti-diabetic medication,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,anti-diabetic medication,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,anti-diabetic medication,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,anti-diabetic medication,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,anti-diabetic medication,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,anti-diabetic medication,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,beta blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,beta blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,beta blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,beta blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,beta blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,beta blocker,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,ranolazine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,ranolazine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,ranolazine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,ranolazine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,ranolazine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,ranolazine,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,statin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,statin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,statin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,statin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,statin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,statin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,pharmaceutical preparation of nitroglycerin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,pharmaceutical preparation of nitroglycerin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,pharmaceutical preparation of nitroglycerin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,pharmaceutical preparation of nitroglycerin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,pharmaceutical preparation of nitroglycerin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,pharmaceutical preparation of nitroglycerin,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,lipid regulating agents,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,lipid regulating agents,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,nausea,lipid regulating agents,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,lipid regulating agents,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,lipid regulating agents,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,lipid regulating agents,arteriosclerosis,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,aspirin,heart disease,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,aspirin,heart disease,aspirin
Q1444550,arteriosclerotic heart disease,nausea,aspirin,heart disease,aspirin
Q1444550,arteriosclerotic heart disease,dyspnea,aspirin,heart disease,aspirin
Q1444550,arteriosclerotic heart disease,neck pain,aspirin,heart disease,aspirin
Q1444550,arteriosclerotic heart disease,lightheadedness,aspirin,heart disease,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,isosorbide dinitrate,heart disease,aspirin
Q1444550,arteriosclerotic heart disease,angina pectoris,isosorbide dinitrate,heart disease,aspirin
Q1444550,arteriosclerotic heart disease,fatigue,aspirin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,aspirin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,aspirin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,aspirin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,aspirin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,aspirin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,isosorbide dinitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,isosorbide dinitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,isosorbide dinitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,isosorbide dinitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,isosorbide dinitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,isosorbide dinitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,clopidogrel,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,clopidogrel,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,clopidogrel,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,clopidogrel,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,clopidogrel,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,clopidogrel,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,papaverine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,papaverine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,papaverine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,papaverine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,papaverine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,papaverine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,tirofiban,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,tirofiban,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,tirofiban,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,tirofiban,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,tirofiban,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,tirofiban,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,calcium channel blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,calcium channel blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,calcium channel blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,calcium channel blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,calcium channel blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,calcium channel blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,isosorbide mononitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,isosorbide mononitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,isosorbide mononitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,isosorbide mononitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,isosorbide mononitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,isosorbide mononitrate,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,anti-diabetic medication,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,anti-diabetic medication,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,anti-diabetic medication,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,anti-diabetic medication,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,anti-diabetic medication,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,anti-diabetic medication,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,beta blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,beta blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,beta blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,beta blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,beta blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,beta blocker,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,ranolazine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,ranolazine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,ranolazine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,ranolazine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,ranolazine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,ranolazine,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,statin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,statin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,statin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,statin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,statin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,statin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,pharmaceutical preparation of nitroglycerin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,pharmaceutical preparation of nitroglycerin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,pharmaceutical preparation of nitroglycerin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,pharmaceutical preparation of nitroglycerin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,pharmaceutical preparation of nitroglycerin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,pharmaceutical preparation of nitroglycerin,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,lipid regulating agents,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,lipid regulating agents,arteriosclerosis,isosorbide dinitrate
